"","Filtros"
"Cancelada","Não"
"Operação","S - Venda"

"Documento","Código Produto","Cancelada","Operação","Valor item NF","Valor Total Item","Desconto Item","Plano de Pagamento","Qtde Item","Descrição Produto","Linha Produto","Setor Produto","Aprovador Desconto"
"29529","396899","Não","S - Venda","2,25","2,25","0,00","DINHEIRO","1,00","Placa Eva 40x48cm Pt","Papelaria","Escolar/escritorio","(blank)"
"29529","9792423","Não","S - Venda","2,25","2,25","0,00","DINHEIRO","1,00","Placa Eva 40x48cm Lilas","Acessorios Escolares","Escolar/escritorio","(blank)"
"29529","396912","Não","S - Venda","2,25","2,25","0,00","DINHEIRO","1,00","Placa Eva 40x48cm Az Cl","Papelaria","Escolar/escritorio","(blank)"
"29529","396936","Não","S - Venda","2,25","2,25","0,00","DINHEIRO","1,00","Placa Eva 40x48cm Am","Papelaria","Escolar/escritorio","(blank)"
"29530","9789490","Não","S - Venda","41,00","41,00","0,00","CRÉDITO 2X - REDE CARD","1,00","Sombrinha Colorida Sort Uc0004","Bazar","Bazar","(blank)"
"29531","7290","Não","S - Venda","15,50","15,50","0,00","DINHEIRO","1,00","Corrente Caes 1.8m Cm48","Pet","Pet","(blank)"
"29531","3149","Não","S - Venda","5,00","5,00","0,00","DINHEIRO","1,00","Faca Churrasco Tramontina Ipanema Cz","Talheres de Mesa","Utilidades Domesticas","(blank)"
"29531","19761","Não","S - Venda","10,25","10,25","0,00","DINHEIRO","1,00","Coleira Couro 02 Forrada","Pet","Pet","(blank)"
"29531","15593","Não","S - Venda","18,00","18,00","0,00","DINHEIRO","12,00","Copo Plast Giplas 330ml Cp-330","Plasticos/acrilicos","Plasticos/acrilicos","(blank)"
"29532","9794367","Não","S - Venda","12,75","12,75","0,00","DÉBITO - BANRISUL","1,00","Cj Chaves Intercambiaveis 6 Pontas/1 Cb Startools","Ferramentas Manuais","Ferragem","(blank)"
"29533","6282","Não","S - Venda","9,00","9,00","0,00","DINHEIRO","1,00","Oleo Multiuso 100ml Vonder","Quimicos","Ferragem","(blank)"
"29534","3370","Não","S - Venda","61,00","61,00","0,00","DINHEIRO","1,00","Alicate Pressao 10 Tramontina","Ferramentas Manuais","Ferragem","(blank)"
"29535","7241","Não","S - Venda","2,25","2,25","0,00","DINHEIRO","1,00","Agua Crystal Pet 500ml C/gas","Bebidas","Bebidas","(blank)"
"29536","9281","Não","S - Venda","4,50","4,50","0,00","DÉBITO - REDE CARD","1,00","Dori Bala Gomets Goma Minhoca Frutas 150Gr","Caixas","Caixas","(blank)"
"29536","9794651","Não","S - Venda","25,80","25,80","0,00","DÉBITO - REDE CARD","2,00","Cj Forma P/ Air Fryer 16CmX4.5Cm BS0122 30PCS","Utilidades Domesticas","Utilidades Domesticas","(blank)"
"29537","29545","Não","S - Venda","3,75","3,75","0,00","DINHEIRO","1,00","Fita Adesiva Trans C/Suporte WPF20024","Acessorios Escolares","Escolar/escritorio","(blank)"
"29537","9792619","Não","S - Venda","4,50","4,50","0,00","DINHEIRO","2,00","Pregador Roupas Madeira 12Pcs Sanremo","Lavanderia","Lavanderia","(blank)"
"29537","6485","Não","S - Venda","5,00","5,00","0,00","DINHEIRO","1,00","Adesivo Instantaneo 7.5g Vonder","Caixas","Caixas","(blank)"
"29537","6966","Não","S - Venda","9,00","9,00","0,00","DINHEIRO","1,00","Cad 1/4 Cd 80Fls Sweetness","Cadernos","Escolar/escritorio","(blank)"
"29537","24354","Não","S - Venda","7,25","7,25","0,00","DINHEIRO","1,00","Ratoeira Bestfer BFH2235","Acessorios de Ferragem","Ferragem","(blank)"
"29538","9789574","Não","S - Venda","17,75","17,75","0,00","DINHEIRO","1,00","Pulverizador Spray Pt 1  CLB05013","Utilidades Domesticas","Utilidades Domesticas","(blank)"
"29539","25586","Não","S - Venda","17,50","17,50","0,00","CRÉDITO 1X - REDE CARD","1,00","Cadeado Flexivel C/Chave 80cm","Acessorios de Ferragem","Ferragem","(blank)"
"29540","36","Não","S - Venda","2,25","2,25","0,00","DINHEIRO","1,00","Halls Extra Forte","Caixas","Caixas","(blank)"
"29541","368353","Não","S - Venda","16,25","16,25","0,00","DÉBITO - REDE CARD","5,00","Fio Flexivel 750v 2,5mm","Fracionados","Fracionados","(blank)"
"29542","9792985","Não","S - Venda","1,50","1,50","0,00","DINHEIRO","10,00","Abracadeira Lacre Br/Pt 200x2.5 Avulsa","Fixadores","Ferragem","(blank)"
"29543","29661","Não","S - Venda","31,25","31,25","0,00","DINHEIRO","1,00","Bloco Notas 80Fls 70g WPM52158","Acessorios Escolares","Escolar/escritorio","(blank)"
"29544","48","Não","S - Venda","2,25","2,25","0,00","BANRI DEBITO A VISTA","1,00","Sprite Original Mini Pet 200ml","Bebidas","Bebidas","(blank)"
"29544","9794401","Não","S - Venda","3,50","3,50","0,00","BANRI DEBITO A VISTA","2,00","Suporte Prateleira 3x4cm/0.7mm Startools","Acessorios de Ferragem","Ferragem","(blank)"
"29544","29874","Não","S - Venda","7,00","7,00","0,00","BANRI DEBITO A VISTA","1,00","Cabide Ferro C/6 Ganchos","Aces. Liquidif. e Cafet.","Utilidades Domesticas","(blank)"
"29544","9793714","Não","S - Venda","15,25","15,25","0,00","BANRI DEBITO A VISTA","1,00","Suporte Fixo Tv 14"" A 84"" Pt","Acessorios Tv","Elétrica","(blank)"
"29545","9792792","Não","S - Venda","10,75","10,75","0,00","DINHEIRO","1,00","Cola Fita 8mm 8m Leoarte","Acessorios Escolares","Escolar/escritorio","(blank)"
"29545","9792485","Não","S - Venda","10,25","10,25","0,00","DINHEIRO","1,00","Cad Univ Flex Uniflex Color 96Fls Basic Art","Cadernos","Escolar/escritorio","(blank)"
"29546","17786","Não","S - Venda","72,50","72,50","0,00","CRÉDITO 3X - REDE CARD","1,00","Alicate Rebitador Dtools 4 Pontas","Ferramentas Manuais","Ferragem","(blank)"
"29547","9794230","Não","S - Venda","10,00","10,00","0,00","DÉBITO - REDE CARD","1,00","Energetico Monster Pipeline Punch Lata 473ml","Bebidas","Bebidas","(blank)"
"29547","9285","Não","S - Venda","6,50","6,50","0,00","DÉBITO - REDE CARD","1,00","Dori Amendoim Pettiz Pimenta Vermelha 120Gr","Caixas","Caixas","(blank)"
"29548","9794658","Não","S - Venda","28,25","28,25","0,00","DÉBITO - BANRISUL","1,00","Jarra Vidro 1.6L BV0109","Loucas de Servir","Loucas","(blank)"
"29549","9794340","Não","S - Venda","66,00","66,00","0,00","CRÉDITO 5X - REDE CARD","2,00","Utensilio DomesticoTramontina Mix  Aco Inox","Talheres de Servir","Utilidades Domesticas","(blank)"
"29549","9794570","Não","S - Venda","18,25","18,25","0,00","CRÉDITO 5X - REDE CARD","1,00","Ralador Alimentos C/ Cabo 24.5X5.7 Inox","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"29549","2593","Não","S - Venda","18,75","18,75","0,00","CRÉDITO 5X - REDE CARD","1,00","Cadeado Pado Lt-20mm","Caixas","Caixas","(blank)"
"29550","1671","Não","S - Venda","13,25","13,25","0,00","DINHEIRO","1,00","Pegador Silicone 26x4.5x3cm Bs0012 Color D01 D02","Utilidades Domesticas","Utilidades Domesticas","(blank)"
"29550","26583","Não","S - Venda","6,75","6,75","0,00","DINHEIRO","1,00","Cj Prendedor Papel Win Paper WPC80056","Acessorios Escolares","Escolar/escritorio","(blank)"
"29551","19930","Não","S - Venda","23,00","23,00","0,00","DINHEIRO","1,00","Veda porta 100Cm Espuma Dupla Rosangela","Bazar","Bazar","(blank)"
"29552","9286","Não","S - Venda","4,50","4,50","0,00","DINHEIRO","1,00","Dori Bala Deliket Frutas Conf 150Gr","Caixas","Caixas","(blank)"
"29552","9789558","Não","S - Venda","21,75","21,75","0,00","DINHEIRO","1,00","Espatula Cabo Tubular C/ Regua IXB03188","Utensilios de Cozinha","Utilidades Domesticas","(blank)"
"29552","25469","Não","S - Venda","24,50","24,50","0,00","DINHEIRO","1,00","Porta Saco Confeitaria Carol","Utilidades Domesticas","Utilidades Domesticas","(blank)"
"29553","83317","Não","S - Venda","16,50","16,50","0,00","DINHEIRO","2,00","Chaveiro Metal/MDF/Borracha Simples","Caixas","Caixas","(blank)"
"29554","19787","Não","S - Venda","22,25","22,25","0,00","CRÉDITO 1X - REDE CARD","1,00","Tinta Spray 350ml Ug Vermelho Tekbond","Quimicos","Ferragem","(blank)"
"29554","9299","Não","S - Venda","2,25","2,25","0,00","CRÉDITO 1X - REDE CARD","1,00","Semente Beterraba Katrina","Plantas","Jardinagem/flores","(blank)"
