Ano,Mês,Código do Produto,Código de Barras,Descrição do Produto,Quantidade,Valor Bruto,Valor Desconto,Valor Líquido,Valor Vale Troca
2023.0,04/2023,7899755616191.0,7899755616191.0,Porta Acetona 160ml,6.0,"76,50","0,00","76,50","0,00"
2023.0,04/2023,7891575143970.0,7891575143970.0,Tigela 1l 150ml Melamina G 19x19x6.5cm 4397,1.0,"20,50","0,00","20,50","0,00"
2023.0,04/2023,7909875091157.0,7909875091157.0,Organizador De Frios Trans C/ Tampa Rs Plast,1.0,"27,25","0,00","27,25","0,00"
2023.0,04/2023,7898943566195.0,7898943566195.0,Organizador Diamond 31x22x9cm Cristal,3.0,"220,50","0,00","220,50","0,00"
2023.0,04/2023,7896359003877.0,7896359003877.0,Garrafa Ret. Sanremo 1.75l,15.0,"198,75","46,90","151,85","0,00"
2023.0,04/2023,7899631604434.0,7899631604434.0,Tigela 11cm Black Gourmet Mix,2.0,"33,00","0,00","33,00","0,00"
2023.0,04/2023,7896042016313.0,7896042016313.0,Baleiro 3l Plasutil,4.0,"114,00","0,00","114,00","0,00"
2023.0,04/2023,7899014651581.0,7899014651581.0,Copo Canudo 300ml Cajovil Silicone Tpa Retratil Rs,1.0,"37,50","0,00","37,50","0,00"
2023.0,04/2023,7899014647652.0,7899014647652.0,Esponja P/ Banheira Cajovil Az Bebe,1.0,"26,00","0,00","26,00","0,00"
2023.0,04/2023,7895155513306.0,7895155513306.0,Organizador Pia Plus Br,4.0,"37,00","0,00","37,00","0,00"
2023.0,04/2023,7898943566140.0,7898943566140.0,Cesto Organizador C/ Div Quadratta 23x11x5cm,1.0,"29,25","0,00","29,25","0,00"
2023.0,04/2023,7891115073415.0,7891115073415.0,Pote 0.480ml Quad Plasvale Rs,1.0,"5,50","0,00","5,50","0,00"
2023.0,04/2023,7892401006896.0,7892401006896.0,Porta Guardanapo Sal/ Palito Utility Corporate Rs,1.0,"21,00","0,00","21,00","0,00"
2023.0,04/2023,7891115015347.0,7891115015347.0,Bisnaga 0.25l Am,9.0,"38,25","0,00","38,25","0,00"
2023.0,04/2023,7895155242473.0,7895155242473.0,Porta Detergente Uz Br,11.0,"181,50","0,00","181,50","0,00"
2023.0,04/2023,7895155641818.0,7895155641818.0,Porta Frios Transp,2.0,"54,00","0,00","54,00","0,00"
2023.0,04/2023,7896359010752.0,7896359010752.0,Pote Biscoito Sanremo Plastico 1.38l,3.0,"38,25","0,00","38,25","0,00"
2023.0,04/2023,7897698235202.0,7897698235202.0,Pote 750ml C/ Rosca Joy Molho Tomate,14.0,"122,50","0,00","122,50","0,00"
2023.0,04/2023,7899808895795.0,7899808895795.0,Jarra 01l 800ml Plasutil New York Mr 012946,1.0,"33,25","0,00","33,25","33,25"
2023.0,04/2023,7897291809510.0,7897291809510.0,Cj Pote 400ml Giplas Red Alto Sort 3 Pcs Cm-304,3.0,"19,50","0,00","19,50","0,00"
2023.0,04/2023,7895155500702.0,7895155500702.0,Saboneteira Premium Rs,3.0,"44,25","0,00","44,25","0,00"
2023.0,04/2023,7895155808167.0,7895155808167.0,Porta Escova C/ Tampa Premium Vm Plast,2.0,"41,00","0,00","41,00","0,00"
2023.0,04/2023,7896042034409.0,7896042034409.0,Porta Sabonete Liq Trama 360ml Cz,3.0,"37,50","0,00","37,50","0,00"
2023.0,04/2023,7895155295011.0,7895155295011.0,Organizador Conecta 1.2l Trans Plast C/ Tampa Rs,5.0,"60,00","0,00","60,00","0,00"
2023.0,04/2023,7896359029075.0,7896359029075.0,Pote 3.5l Sanremo C/ Travas Plast SR1740,2.0,"66,50","0,00","66,50","0,00"
2023.0,04/2023,7895155386283.0,7895155386283.0,Pote Multiuso Ret 3l Pt,1.0,"21,50","0,00","21,50","0,00"
2023.0,04/2023,7891115083049.0,7891115083049.0,Pote Mais 300Ml Plasvale,5.0,"18,75","0,00","18,75","0,00"
2023.0,04/2023,7896042088297.0,7896042088297.0,Porta Sabonete Liq Trama 360 Ml Br,2.0,"25,00","0,00","25,00","0,00"
2023.0,04/2023,7896952507888.0,7896952507888.0,Porta Talher Jaguar C/tampa,11.0,"151,25","0,00","151,25","0,00"
2023.0,04/2023,7896201707571.0,7896201707571.0,Tampa Marmita Termica Malta 757,1.0,"33,50","0,00","33,50","0,00"
2023.0,04/2023,7896952514886.0,7896952514886.0,Jarra 1.2l C/ Tampa Jaguar,3.0,"22,50","0,00","22,50","0,00"
2023.0,04/2023,7896553922929.0,7896553922929.0,Saleiro 500g Mix Bc,1.0,"62,00","0,00","62,00","0,00"
2023.0,04/2023,7897291831511.0,7897291831511.0,Cj Organiz 230ml Giplas Quad Home Sort 4Pc Cqh-402,12.0,"66,00","0,00","66,00","0,00"
